	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
96	Cambridge	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
97	inconceivable	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
98	relating	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0
99	Wurst-	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
100	promote	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
101	Austro-Bavarian	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
102	Milk	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	liberty	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	fairly	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
105	Freimarkt	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
106	feuding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	Rochester	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	assault	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
109	Michael	0	0	1	5	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
110	Okazaki	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
111	-tagged	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
112	Appropriations	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	opposition	1	1	2	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	contagious	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
115	caloric	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
116	foods	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
117	Committee	2	0	5	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
118	Abbey	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	applicant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
120	packet	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	reasonable	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
122	ripped	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	Monsieur	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	Frugality	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	Cultural	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	organizers	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	-Ay	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
128	accounting	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	Neutering	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	tip	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	Serious	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	keeping	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
133	settled	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
134	excess	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
135	spent	0	0	5	4	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
136	foundational	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	hate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	babalorich	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
139	Warm	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
140	feral	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	claims	5	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
142	lizards	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	Browder	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	compels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
145	summed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	Ethylene	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	symbiotic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	Diplomatic	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	meets	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	Practical	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
151	question-and-answer	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	sustains	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	excellent	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	Barr	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
155	divides	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
156	pregnancies	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
157	pronunciation	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
158	enslaved	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
159	oppose	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
160	affair	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	righteous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	ever	0	1	2	3	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
163	anti-poverty	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	help	0	4	7	4	0	0	2	2	0	0	10	1	0	2	0	1	0	0	0	0
165	Democracy	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	Garrow	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	habitat	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	Limited	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
169	commands	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	scratch	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	MENU	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	investigate	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
173	Autumn	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
174	Listed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
175	-methylbutan-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	loyalists	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	falls	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
178	Theresienwiese	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
179	Affairs	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	smallish	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	hPa	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
182	initially	0	0	3	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
183	cultivation	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	await	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
